title,author,genre,url_book,url_image
Приховані малюнки,Джейсон Рекулак,Художня література,/catalog/zhakhy-trylery/prykhovani-malyunky/,https://book-ye.com.ua//upload/resize_cache/iblock/e58/230_355_1/74f07677_871e_11e6_80c0_000c29ae1566_a7602b7d_963d_11ed_8178_0050568ef5e6.jpg
Скляний замок,Джаннетт Воллс,Художня література,/catalog/memuary-lysty-shchodennyky/sklyanyj-zamok/,https://book-ye.com.ua//upload/resize_cache/iblock/fe6/230_355_1/fd2b3496_d7f1_11e6_80c0_000c29ae1566_5073fc87_989c_11ed_8178_0050568ef5e6.jpg
Мелодія кави у тональності кардамону (кінообкладинка),Наталія Гурницька,Художня література,/catalog/istorychni-romany/melodiya-kavy-u-tonalnosti-kardamonu-kinoobkladynka/,https://book-ye.com.ua//upload/resize_cache/iblock/d23/230_355_1/40d2747c_753c_11ec_815f_0050568ef5e6_87dbaa57_753e_11ec_815f_0050568ef5e6.jpg
#ГАЛЯБЕЗГОЛОВИ,Люко Дашвар,Художня література,/catalog/suchasna-ukrayinska-proza/galyabezgolovy/,https://book-ye.com.ua//upload/resize_cache/iblock/541/230_355_1/a2135a1f_9a73_11ea_8136_000c29ae1566_ada52464_9a74_11ea_8136_000c29ae1566.jpg
"Людина, яка померла двічі",Річард Осман,Художня література,/catalog/detektyvy/lyudyna-yaka-pomerla-dvichi/,https://book-ye.com.ua//upload/resize_cache/iblock/600/230_355_1/51cac45f_8951_11e6_80c0_000c29ae1566_806da67a_95b2_11ed_8178_0050568ef5e6.jpg
Густіше за кров,Майк Омер,Художня література,/catalog/mistychnyj-detektyv/gustishe-za-krov/,https://book-ye.com.ua//upload/resize_cache/iblock/15e/230_355_1/c33d887c_13f7_11ed_8173_0050568ef5e6_b6f2c38d_13fa_11ed_8173_0050568ef5e6.jpg
Тільки я візьму новий рівень. Книга 5,Dubu,Художня література,/catalog/manga/tilky-ya-vizmu-novyj-riven-knyha-5/,https://book-ye.com.ua//upload/resize_cache/iblock/dc8/230_355_1/e3686b99_83d0_11e6_80c0_000c29ae1566_682cc246_82a8_11ed_8177_0050568ef5e6.jpg
Голод (Класика),Кнут Гамсун,Художня література,/catalog/zarubizhna-klasyka/golod-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/fd1/230_355_1/ee215393_98b5_11ed_8178_0050568ef5e6_5a0e424b_98b7_11ed_8178_0050568ef5e6.jpg
Добра самарянка,Джон Маррс,Художня література,/catalog/psykholohichni-trylery/dobra-samaryanka/,https://book-ye.com.ua//upload/resize_cache/iblock/d2a/230_355_1/4877b5a7_98b3_11ed_8178_0050568ef5e6_a864f873_98b4_11ed_8178_0050568ef5e6.jpg
Моє тихе Різдво,Володимир Арєнєв,Художня література,/catalog/korotki-istoriyi/moye-tykhe-rizdvo/,https://book-ye.com.ua//upload/resize_cache/iblock/696/230_355_1/50ce377d_6dab_11ed_8176_0050568ef5e6_cc72b5b6_6dac_11ed_8176_0050568ef5e6.jpg
Доця,Тамара Горіха Зерня,Художня література,/catalog/suchasna-ukrayinska-proza/dotsya/,https://book-ye.com.ua//upload/resize_cache/iblock/cac/230_355_1/e3315811_b291_11e9_811b_000c29ae1566_988e337a_4810_11ea_8127_000c29ae1566.jpg
За лаштунками імперії. Есеї про українсько-російські культурні відносини,Віра Агеєва,Художня література,/catalog/literaturoznavstvo/za-lashtunkamy-imperiyi-eseyi-pro-ukrayinsko-rosijski-kulturni-vidnosyny/,https://book-ye.com.ua//upload/resize_cache/iblock/0dc/230_355_1/700d3efe_fab6_11eb_8150_0050568ef5e6_ac51bbad_1c76_11ec_8152_0050568ef5e6.jpg
Коко 2.0. Книга 2,Дорж Бату,Художня література,/catalog/suchasna-ukrayinska-proza/koko-2-0-knyha-2/,https://book-ye.com.ua//upload/resize_cache/iblock/ce4/230_355_1/6a9ec03b_f161_11ec_8172_0050568ef5e6_517da9b3_f163_11ec_8172_0050568ef5e6.jpg
Дев'ятий Дім,Лі Бардуґо,Художня література,/catalog/fentezi/dev-yatyj-dim/,https://book-ye.com.ua//upload/resize_cache/iblock/e98/230_355_1/0ee7bc87_3f9d_11eb_8142_000c29ae1566_cd9a66b1_3f9d_11eb_8142_000c29ae1566.jpg
Амадока,Софія Андрухович,Художня література,/catalog/suchasna-ukrayinska-proza/amadoka/,https://book-ye.com.ua//upload/resize_cache/iblock/211/230_355_1/bed3f1b1_6ddd_11ea_812b_000c29ae1566_ac3f45bc_6de1_11ea_812b_000c29ae1566.jpg
1984 (Класика),Джордж Орвелл,Художня література,/catalog/zarubizhna-klasyka/1984-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/812/230_355_1/e8b9d4b4_8351_11eb_814a_0050568ef5e6_1282fb3c_dce6_11ec_8170_0050568ef5e6.jpg
Ілюзія безпеки,Румаан Алам,Художня література,/catalog/psykholohichni-trylery/ilyuziya-bezpeky/,https://book-ye.com.ua//upload/resize_cache/iblock/97b/230_355_1/7873465b_8bad_11e6_80c0_000c29ae1566_78eca32c_a3b2_11ed_817b_0050568ef5e6.jpg
Проти ночі,Поліна Кулакова,Художня література,/catalog/zhakhy-trylery/proty-nochi/,https://book-ye.com.ua//upload/resize_cache/iblock/18b/230_355_1/e5fe96a5_284d_11ed_8175_0050568ef5e6_6c4d0285_284e_11ed_8175_0050568ef5e6.jpg
Метро 2033,Дмитро Ґлуховський,Художня література,/catalog/fantastyka/metro-2033/,https://book-ye.com.ua//upload/resize_cache/iblock/4da/230_355_1/f721d4d6_12cb_11eb_813d_000c29ae1566_91ff66f7_12ce_11eb_813d_000c29ae1566.jpg
Ми проти вас,Фредрік Бакман,Художня література,/catalog/suchasna-zarubizhna-proza/my-proty-vas/,https://book-ye.com.ua//upload/resize_cache/iblock/5f6/230_355_1/d9e85b3b_413a_11eb_8142_000c29ae1566_9b238a1f_413b_11eb_8142_000c29ae1566.jpg
Темна половина,Стівен Кінг,Художня література,/catalog/kryminalni-trylery/temna-polovyna/,https://book-ye.com.ua//upload/resize_cache/iblock/058/230_355_1/d4430071_4330_11ed_8175_0050568ef5e6_54bf6d2f_4331_11ed_8175_0050568ef5e6.jpg
Хімія смерті. Перше розслідування,Саймон Бекетт,Художня література,/catalog/detektyvy/khimiya-smerti-pershe-rozsliduvannya/,https://book-ye.com.ua//upload/resize_cache/iblock/c24/230_355_1/b51ec4fd_59f7_11ed_8175_0050568ef5e6_a8c9d175_5c48_11ed_8175_0050568ef5e6.jpg
